latitude,longitude
32.4053,-111.22301
32.4053,-111.22301
32.4053,-111.22301
32.4053,-111.22301
32.4053,-111.22301
32.4053,-111.22301
32.4053,-111.22301
32.4053,-111.22301
32.4053,-111.22301
32.4053,-111.22301
32.4053,-111.22301
32.4053,-111.22301
32.4053,-111.22301
32.4053,-111.22301
32.4053,-111.22301
32.4053,-111.22301
32.4053,-111.22301
32.4053,-111.22301
32.4053,-111.22301
32.4053,-111.22301
32.4053,-111.22301
32.4053,-111.22301
32.4053,-111.22301
32.4053,-111.22301
32.4053,-111.22301
32.4053,-111.22301
32.4053,-111.22301
32.4053,-111.22301
32.4053,-111.22301
32.4053,-111.22301
32.4053,-111.22301
32.4053,-111.22301
32.4053,-111.22301
32.4053,-111.22301
32.4053,-111.22301
32.4053,-111.22301
32.4053,-111.22301
32.4053,-111.22301
32.4053,-111.22301
32.4053,-111.22301
32.4053,-111.22301
32.4053,-111.22301
32.4053,-111.22301
32.4053,-111.22301
32.4053,-111.22301
32.4053,-111.22301
32.4053,-111.22301
32.4053,-111.22301
32.4053,-111.22301
32.4053,-111.22301
32.4053,-111.22301
32.4053,-111.22301
32.4053,-111.22301
32.4053,-111.22301
32.4053,-111.22301
32.4053,-111.22301
32.4053,-111.22301
32.4053,-111.22301
32.4053,-111.22301
32.4053,-111.22301
32.4053,-111.22301
32.40531,-111.22296
32.40531,-111.22296
32.40531,-111.22296
32.40531,-111.22295
32.40531,-111.22295
32.40532,-111.22295
32.40532,-111.22295
32.40532,-111.22295
32.40532,-111.22295
32.40532,-111.22295
32.40532,-111.22295
32.40532,-111.22295
32.40532,-111.22295
32.40532,-111.22295
32.40532,-111.22295
32.40532,-111.22295
32.40532,-111.22295
32.40532,-111.22295
32.40532,-111.22295
32.40532,-111.22295
32.40532,-111.22295
32.40532,-111.22295
32.40532,-111.22295
32.40532,-111.22295
32.40532,-111.22295
32.40532,-111.22295
32.40532,-111.22295
32.40532,-111.22295
32.40532,-111.22295
32.40532,-111.22295
32.40532,-111.22295
32.40532,-111.22295
32.40531,-111.22295
32.40531,-111.22295
32.40531,-111.22295
32.40531,-111.22295
32.40531,-111.22295
32.40531,-111.22295
32.40531,-111.22295
32.40531,-111.22295
32.40531,-111.22295
32.40531,-111.22295
32.40532,-111.22295
32.40532,-111.22295
32.40532,-111.22295
32.40532,-111.22295
32.40532,-111.22295
32.40532,-111.22295
32.40532,-111.22295
32.40532,-111.22295
32.40532,-111.22295
32.40532,-111.22295
32.40532,-111.22295
32.40532,-111.22295
32.40532,-111.22295
32.40532,-111.22295
32.40532,-111.22295
32.40532,-111.22295
32.40532,-111.22295
32.40532,-111.22295
32.40532,-111.22295
